Position,Player,Country,Matches,Innings,Notouts,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes
1,Laura Wolvaardt,South Africa,8,8,1,470,169,67.14,480,97.91,1,3,0,62,6
2,Smriti Mandhana,India,8,8,1,389,109,55.57,380,102.36,1,2,0,42,9
3,Ashleigh Gardner,Australia,7,5,1,328,115,82,252,130.15,2,1,0,39,6
4,Pratika Rawal,India,7,6,0,308,122,51.33,396,77.77,1,1,0,37,4
5,Phoebe Litchfield,Australia,7,7,1,304,119,50.66,271,112.17,1,1,0,43,7
6,Alyssa Healy,Australia,5,5,1,299,142,74.75,239,125.1,2,0,0,47,3
7,Sophie Devine,New Zealand,7,5,0,289,112,57.8,339,85.25,1,2,0,25,5
8,Heather Knight,England,8,7,1,288,109,48,336,85.71,1,1,1,34,3
9,Jemimah Rodrigues,India,7,6,2,268,127,67,252,106.34,1,1,2,35,0
10,Nat Sciver-Brunt,England,8,6,0,262,117,43.66,307,85.34,1,1,0,26,3
11,Harmanpreet Kaur,India,8,7,0,240,89,34.28,263,91.25,0,2,0,28,2
12,Brooke Halliday,New Zealand,7,5,0,227,81,45.4,277,81.94,0,2,0,22,3
13,Amy Jones,England,8,8,2,220,86,36.66,262,83.96,0,2,1,31,1
14,Sharmin Akhter,Bangladesh,7,7,1,212,64,35.33,357,59.38,0,2,0,24,1
15,Tazmin Brits,South Africa,8,8,1,212,101,30.28,230,92.17,1,1,3,27,4
